fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
1980-04-03,9585,LA MOLINA,GIRONA,1699,"0,8","0,0","-3,7",05:15,"5,4",13:00,,"5,8",,,"6,3","827,2",11,"823,5",24,63
1980-04-04,9619,LA SEU D'URGELL,LLEIDA,677,,"0,0","-2,0",,,,,,,,,,,,,
1980-04-04,9585,LA MOLINA,GIRONA,1699,"0,3","0,0","-5,6",04:00,"6,2",14:15,,"3,9",,,"7,2","824,5",09,"821,3",24,64
1980-04-05,9619,LA SEU D'URGELL,LLEIDA,677,"7,5","0,0","-3,0",,"18,0",,,,,,,,,,,
1980-04-05,9585,LA MOLINA,GIRONA,1699,"-0,4","0,0","-6,2",03:50,"5,4",14:00,,"3,9",,,"5,0","821,3",00,"819,5",24,68
1980-04-06,9619,LA SEU D'URGELL,LLEIDA,677,"7,0","0,0","-4,0",,"18,0",,,,,,,,,,,
1980-04-06,9585,LA MOLINA,GIRONA,1699,"-0,2","0,0","-5,6",03:45,"5,2",13:30,,"4,7",,,"4,1","822,7",24,"819,5",00,67
1980-03-30,9771,"LLEIDA, OBSERVATORIO",LLEIDA,199,"14,4","0,0","8,4",06:50,"20,4",17:40,29,"2,5","10,0",00:30,"11,0","1000,0",10,"994,7",00,45
1980-03-31,9771,"LLEIDA, OBSERVATORIO",LLEIDA,199,"17,1","0,0","7,2",06:00,"27,0",17:10,27,"0,6","10,0",15:00,"11,2","998,9",09,"993,1",18,52
1980-04-01,9771,"LLEIDA, OBSERVATORIO",LLEIDA,199,"19,4","0,0","11,8",06:00,"27,0",16:00,29,"3,3","13,9",14:50,"10,6","995,1",09,"992,3",16,46
1980-04-02,9771,"LLEIDA, OBSERVATORIO",LLEIDA,199,"15,6","0,0","11,6",23:59,"19,6",13:20,27,"3,9","15,0",15:40,"10,4","998,1",21,"994,9",00,48
1980-04-03,9771,"LLEIDA, OBSERVATORIO",LLEIDA,199,"13,2","0,0","7,0",06:00,"19,4",17:10,09,"2,2","13,1",21:00,"11,6","998,9",07,"993,1",18,50
1980-04-04,9771,"LLEIDA, OBSERVATORIO",LLEIDA,199,"12,7","0,0","6,2",06:00,"19,2",16:10,27,"3,3","10,0",12:20,"11,8","997,3",01,"989,9",19,34
