provincia,year,avg_precip,dry_days
TERUEL,1944,3,3
TOLEDO,1944,6.3999999999999995,1
VALENCIA,1944,0.41250000000000003,6
VALLADOLID,1944,2.9499999999999997,2
ZAMORA,1944,4.45,2
ZARAGOZA,1944,1.75625,2
A CORUÑA,1945,2.46875,2
ALBACETE,1945,1.025,6
ALICANTE,1945,0.39999999999999997,6
ALMERIA,1945,0,8
ARABA/ALAVA,1945,4.2375,4
ASTURIAS,1945,1.075,3
BARCELONA,1945,0.3125,4
BURGOS,1945,1.56875,5
CACERES,1945,0.2375,7
CANTABRIA,1945,4.575,4
CASTELLON,1945,1.725,6
CEUTA,1945,1.1375,6
CIUDAD REAL,1945,0.375,7
GIPUZKOA,1945,8.025,4
GIRONA,1945,0.675,6
GRANADA,1945,1.425,6
GUADALAJARA,1945,1.525,7
HUELVA,1945,0.95,7
JAEN,1945,1.825,7
LEON,1945,0.5375,6
MADRID,1945,0.2,7
MALAGA,1945,0.3125,7
MURCIA,1945,0.33749999999999997,6
OURENSE,1945,0.475,7
PONTEVEDRA,1945,0.6,0
SALAMANCA,1945,0.875,6
SANTA CRUZ DE TENERIFE,1945,0,8
STA. CRUZ DE TENERIFE,1945,0,8
TARRAGONA,1945,0.60625,6
TERUEL,1945,1.2750000000000001,5
TOLEDO,1945,0.675,6
VALENCIA,1945,0.6125,6
VALLADOLID,1945,0.65,6
ZAMORA,1945,0.225,6
ZARAGOZA,1945,0.4625,6
A CORUÑA,1946,2.3625,5
ALBACETE,1946,5.5,1
ALICANTE,1946,10.3375,3
ALMERIA,1946,7.8999999999999995,1
ARABA/ALAVA,1946,2.4625,3
ASTURIAS,1946,1.325,5
BARCELONA,1946,2.95,4
BURGOS,1946,1.11875,3
CACERES,1946,0.4125,5
CADIZ,1946,4.7125,4
CANTABRIA,1946,1,3
CASTELLON,1946,1.2857142857142858,4
CEUTA,1946,9.075,3
CIUDAD REAL,1946,5.625,5
GIPUZKOA,1946,2.4625000000000004,5
GIRONA,1946,1.71875,4
GRANADA,1946,4.3875,2
GUADALAJARA,1946,2.1375,3
HUELVA,1946,4.4,4
JAEN,1946,4.9375,2
LEON,1946,2.7,5
MADRID,1946,5.020833333333333,2
MALAGA,1946,4.6875,4
MURCIA,1946,14.36875,1
PONTEVEDRA,1946,1.9375,5
SALAMANCA,1946,0.1,7
SANTA CRUZ DE TENERIFE,1946,2.4125,4
SEVILLA,1946,0,8
STA. CRUZ DE TENERIFE,1946,0,8
TARRAGONA,1946,5.3625,4
TERUEL,1946,3.2125,2
TOLEDO,1946,3.5,2
VALENCIA,1946,3.725,5
VALLADOLID,1946,1.9000000000000001,4
ZAMORA,1946,1.0375,4
ZARAGOZA,1946,4.71875,2
A CORUÑA,1947,9.575,1
ALBACETE,1947,0.65,4
ALICANTE,1947,1.95,6
ALMERIA,1947,0.225,5
ARABA/ALAVA,1947,1.125,2
ASTURIAS,1947,1.625,3
BADAJOZ,1947,2.625,3
BARCELONA,1947,0.00625,7
BIZKAIA,1947,3.5375,3
BURGOS,1947,3.9875,2
CACERES,1947,3.55,2
CADIZ,1947,4.7,3
CANTABRIA,1947,1.7249999999999999,4
CASTELLON,1947,0,8
CEUTA,1947,5.050000000000001,4
CIUDAD REAL,1947,0.7,7
GIPUZKOA,1947,1.4375,3
GIRONA,1947,0.275,7
GRANADA,1947,1.4375,3
GUADALAJARA,1947,8.0125,3
HUELVA,1947,2.2375,2
JAEN,1947,5.15,3
LEON,1947,0.9375,4
MADRID,1947,1.8625,1
MALAGA,1947,0,8
MURCIA,1947,0.24375,6
PONTEVEDRA,1947,12.9875,2
SALAMANCA,1947,1.0125,2
SANTA CRUZ DE TENERIFE,1947,0.0375,7
STA. CRUZ DE TENERIFE,1947,0,8
TARRAGONA,1947,0.66875,4
TERUEL,1947,0.125,7
TOLEDO,1947,0.48124999999999996,4
VALENCIA,1947,0,8
VALLADOLID,1947,1.675,3
ZAMORA,1947,0.825,2
ZARAGOZA,1947,0.50625,2
A CORUÑA,1948,0.9375,5
ALBACETE,1948,1.0875,6
ALICANTE,1948,3.1,6
ALMERIA,1948,0.6375000000000001,5
ARABA/ALAVA,1948,0.525,7
ASTURIAS,1948,0,8
BADAJOZ,1948,4.35,5
BARCELONA,1948,4.295833333333333,6
BIZKAIA,1948,0,8
BURGOS,1948,0.8875,5
CACERES,1948,2.75,5
CADIZ,1948,1.7125,6
CANTABRIA,1948,0.09375,7
CASTELLON,1948,1.8125,7
CEUTA,1948,1.9125,6
CIUDAD REAL,1948,2.325,6
GIPUZKOA,1948,0,8
GIRONA,1948,5.9125,6
GRANADA,1948,0.28750000000000003,5
GUADALAJARA,1948,2.625,5
HUELVA,1948,1.6749999999999998,6
JAEN,1948,0.65,6
LEON,1948,2.15,6
MADRID,1948,3.841666666666667,5
MALAGA,1948,2.15,6
MURCIA,1948,1.175,4
PONTEVEDRA,1948,1.2625,4
SALAMANCA,1948,1.3625,5
SANTA CRUZ DE TENERIFE,1948,1.9541666666666666,4
SEGOVIA,1948,2.25,6
STA. CRUZ DE TENERIFE,1948,3.3375,6
TARRAGONA,1948,3.3625,6
TERUEL,1948,0.925,5
TOLEDO,1948,0.65,5
VALENCIA,1948,0.55,6
VALLADOLID,1948,1.7375,6
ZAMORA,1948,0.825,6
ZARAGOZA,1948,0.41875,7
A CORUÑA,1949,0.95625,5
ALBACETE,1949,0,8
ALICANTE,1949,0.0125,7
ALMERIA,1949,1.3125,6
ARABA/ALAVA,1949,0,8
ASTURIAS,1949,0.025,7
BADAJOZ,1949,0.1875,7
BARCELONA,1949,0,8
BIZKAIA,1949,0,8
BURGOS,1949,0,8
CACERES,1949,0.8125,5
CADIZ,1949,4.8,5
CANTABRIA,1949,0.016666666666666666,7
CASTELLON,1949,0,8
CEUTA,1949,9.1875,5
CIUDAD REAL,1949,0,8
GIPUZKOA,1949,0,8
GIRONA,1949,0,8
GRANADA,1949,0.9,7
GUADALAJARA,1949,0.2375,7
HUELVA,1949,3.6875,6
JAEN,1949,0.375,7
LA RIOJA,1949,0,8
LEON,1949,0.0625,7
MADRID,1949,0,8
MALAGA,1949,3.1125,6
MURCIA,1949,0.8312499999999999,6
PONTEVEDRA,1949,9.25,0
SALAMANCA,1949,0,8
SANTA CRUZ DE TENERIFE,1949,0.4875,2
SEVILLA,1949,0.15,7
STA. CRUZ DE TENERIFE,1949,0.375,7
TARRAGONA,1949,0,8
TERUEL,1949,0,8
TOLEDO,1949,0.0125,7
VALENCIA,1949,0.1125,7
VALLADOLID,1949,0.05,7
ZAMORA,1949,0.8375,6
ZARAGOZA,1949,0,8
A CORUÑA,1950,0.625,6
ALBACETE,1950,0,8
ALICANTE,1950,0,8
ALMERIA,1950,0,8
ARABA/ALAVA,1950,1.2,6
ASTURIAS,1950,1.075,5
BADAJOZ,1950,0,8
BARCELONA,1950,0,8
BIZKAIA,1950,1.875,4
BURGOS,1950,0,8
CACERES,1950,0,8
CADIZ,1950,0.2,7
CANTABRIA,1950,1.075,4
CASTELLON,1950,0,8
CEUTA,1950,0.5,7
CIUDAD REAL,1950,0,8
GIPUZKOA,1950,2.3000000000000003,4
GIRONA,1950,0,8
GRANADA,1950,0.025,7
GUADALAJARA,1950,0,8
HUELVA,1950,0.5125,7
JAEN,1950,0,8
LA RIOJA,1950,0,8
LEON,1950,0,8
MADRID,1950,0,8
MALAGA,1950,0,8
MURCIA,1950,0,8
OURENSE,1950,6.55,4
SALAMANCA,1950,0,8
SANTA CRUZ DE TENERIFE,1950,2.625,2
SEVILLA,1950,0.125,7
STA. CRUZ DE TENERIFE,1950,10.675,2
TARRAGONA,1950,0,8
TERUEL,1950,0,8
TOLEDO,1950,0,8
VALENCIA,1950,0,8
VALLADOLID,1950,0,8
ZAMORA,1950,0,8
ZARAGOZA,1950,0,8
A CORUÑA,1951,2.5125,4
ALBACETE,1951,0,8
ALICANTE,1951,0,8
ALMERIA,1951,0,8
ARABA/ALAVA,1951,0.8375,4
ASTURIAS,1951,0.9875,4
BADAJOZ,1951,0.11875,6
BARCELONA,1951,0.09583333333333333,7
BIZKAIA,1951,2.9375,4
BURGOS,1951,0,8
CACERES,1951,0,8
CADIZ,1951,0,8
CANTABRIA,1951,1.1708333333333334,0
CASTELLON,1951,0,8
CEUTA,1951,0,8
CIUDAD REAL,1951,0,8
CUENCA,1951,0,8
GIPUZKOA,1951,3.8,2
GIRONA,1951,0,8
GRANADA,1951,0,8
GUADALAJARA,1951,0.041666666666666664,6
HUELVA,1951,0,8
HUESCA,1951,0,8
LA RIOJA,1951,0.2125,6
LAS PALMAS,1951,0,8
LEON,1951,2.21875,6
LUGO,1951,0.5,6
MADRID,1951,0.4275,5
MALAGA,1951,0,8
MURCIA,1951,0,8
OURENSE,1951,5.9,5
PALENCIA,1951,0.2125,7
SALAMANCA,1951,0,8
SANTA CRUZ DE TENERIFE,1951,0,8
SEGOVIA,1951,0,8
SEVILLA,1951,0,8
SORIA,1951,0.0625,7
STA. CRUZ DE TENERIFE,1951,0,8
TARRAGONA,1951,0.0125,6
TERUEL,1951,0,8
TOLEDO,1951,0,8
VALENCIA,1951,0,8
VALLADOLID,1951,0,8
ZARAGOZA,1951,0.01875,7
A CORUÑA,1952,4.816666666666666,2
ALBACETE,1952,1.1875,5
ALICANTE,1952,1.075,5
ALMERIA,1952,1.875,5
ARABA/ALAVA,1952,4.6875,5
ASTURIAS,1952,3.8625,3
BADAJOZ,1952,1.175,6
BARCELONA,1952,1.125,5
BIZKAIA,1952,7,4
BURGOS,1952,4.579166666666667,3
CACERES,1952,1.1375,6
CADIZ,1952,0.45,5
CANTABRIA,1952,4.85,3
CEUTA,1952,0,8
CIUDAD REAL,1952,6.25,5
CUENCA,1952,3.5375,4
GIPUZKOA,1952,7.725,4
GIRONA,1952,1.5062499999999999,6
GRANADA,1952,7.525,4
GUADALAJARA,1952,3.9958333333333336,3
HUELVA,1952,0.8375,7
HUESCA,1952,9.25,4
ILLES BALEARS,1952,0.375,5
JAEN,1952,4.1375,4
LA RIOJA,1952,2.575,5
LAS PALMAS,1952,0,8
LEON,1952,1.3875,3
LUGO,1952,4.2125,4
MADRID,1952,6.5525,4
MALAGA,1952,1.75,6
MURCIA,1952,4.0625,7
OURENSE,1952,3.6625,4
PALENCIA,1952,3.2125,5
SALAMANCA,1952,1.625,5
SANTA CRUZ DE TENERIFE,1952,0.48333333333333334,5
SEGOVIA,1952,3.4625,5
SEVILLA,1952,0,8
SORIA,1952,4.6,3
STA. CRUZ DE TENERIFE,1952,0.6125,7
TARRAGONA,1952,3.7,6
TERUEL,1952,1.3875,5
TOLEDO,1952,2.0875000000000004,6
VALENCIA,1952,1.3375,5
VALLADOLID,1952,4.1625,5
ZAMORA,1952,0.8374999999999999,5
ZARAGOZA,1952,3.5,4
A CORUÑA,1953,5.7375,2
ALBACETE,1953,0.5,7
ALICANTE,1953,0,8
ALMERIA,1953,0,8
ARABA/ALAVA,1953,0.925,5
ASTURIAS,1953,3.475,5
AVILA,1953,0.8,6
BADAJOZ,1953,0.2,7
BARCELONA,1953,0.005263157894736842,7
BIZKAIA,1953,4.2875,2
BURGOS,1953,3.1809523809523808,1
CACERES,1953,0.9875,7
CADIZ,1953,0,8
CANTABRIA,1953,3.6958333333333333,2
CASTELLON,1953,0.05,6
CEUTA,1953,0,8
CIUDAD REAL,1953,0,8
CUENCA,1953,1.5,6
GIPUZKOA,1953,3.65,2
GIRONA,1953,0,8
GRANADA,1953,0,8
GUADALAJARA,1953,0.6708333333333333,3
HUELVA,1953,0,8
HUESCA,1953,1.0125,5
ILLES BALEARS,1953,0,8
JAEN,1953,0,8
LA RIOJA,1953,0.24375,5
LAS PALMAS,1953,0,8
LEON,1953,2.54375,2
LUGO,1953,6.3625,3
MADRID,1953,0.6875,3
MALAGA,1953,0,8
MURCIA,1953,0,8
OURENSE,1953,3.05,2
PALENCIA,1953,0.5875,4
SALAMANCA,1953,0.2375,6
SANTA CRUZ DE TENERIFE,1953,0.16666666666666666,6
SEGOVIA,1953,1.4625,4
SEVILLA,1953,0,8
SORIA,1953,0.7375,4
STA. CRUZ DE TENERIFE,1953,0,8
TARRAGONA,1953,0.21363636363636365,7
TERUEL,1953,0.7125,5
TOLEDO,1953,0.075,7
VALENCIA,1953,0.0875,6
VALLADOLID,1953,0.4375,6
ZAMORA,1953,0.6625000000000001,3
ZARAGOZA,1953,0.56875,4
A CORUÑA,1954,0,8
ALBACETE,1954,1.025,6
ALICANTE,1954,2.4749999999999996,6
ALMERIA,1954,1.5875,6
ARABA/ALAVA,1954,0,8
ASTURIAS,1954,0,8
AVILA,1954,0.00625,7
BADAJOZ,1954,0,8
BARCELONA,1954,1.1625,5
BIZKAIA,1954,0,8
BURGOS,1954,0,8
CACERES,1954,0.0875,7
CADIZ,1954,2.05,5
CANTABRIA,1954,0.00625,7
CASTELLON,1954,0.7,6
CEUTA,1954,0.775,7
CIUDAD REAL,1954,0.7375,4
CUENCA,1954,0,8
GIPUZKOA,1954,0.0625,7
GIRONA,1954,0,8
GRANADA,1954,1.525,6
GUADALAJARA,1954,0.08333333333333333,6
HUELVA,1954,2.475,5
HUESCA,1954,0,8
ILLES BALEARS,1954,2.6999999999999997,4
JAEN,1954,0.325,6
LA RIOJA,1954,0,8
LAS PALMAS,1954,0,8
LEON,1954,0,8
LLEIDA,1954,0,8
LUGO,1954,0,8
MADRID,1954,0.08499999999999999,5
MALAGA,1954,2.7,6
MURCIA,1954,4.83125,6
NAVARRA,1954,0,8
OURENSE,1954,0,8
PALENCIA,1954,0,8
SALAMANCA,1954,0,8
SANTA CRUZ DE TENERIFE,1954,0.25833333333333336,6
SEGOVIA,1954,0,8
SEVILLA,1954,1.3,5
SORIA,1954,0,8
TARRAGONA,1954,1.6125,6
TERUEL,1954,0,8
TOLEDO,1954,0.5875,6
VALENCIA,1954,2.65,5
VALLADOLID,1954,0,8
ZAMORA,1954,0,8
ZARAGOZA,1954,0.5125,7
A CORUÑA,1955,0,8
ALBACETE,1955,0,8
ALICANTE,1955,0,8
ALMERIA,1955,0,8
ARABA/ALAVA,1955,0.3,7
ASTURIAS,1955,0.075,7
AVILA,1955,0,8
BADAJOZ,1955,0,8
BARCELONA,1955,0.14166666666666666,6
BIZKAIA,1955,0.2,7
BURGOS,1955,0,8
CACERES,1955,0,8
CADIZ,1955,0,8
CANTABRIA,1955,0.15625,6
CASTELLON,1955,0,8
CEUTA,1955,0,8
CIUDAD REAL,1955,0,8
CUENCA,1955,0,8
GIPUZKOA,1955,0.475,4
GIRONA,1955,0.125,7
GRANADA,1955,0,8
GUADALAJARA,1955,0,8
HUELVA,1955,0,8
HUESCA,1955,0,8
ILLES BALEARS,1955,0,8
